0.0,58514.252861,58514.252861,58514.252861,117028.505722
0.02,58514.7527692,58514.7527692,58514.7527692,117029.505538
0.04,58515.69126,58515.69126,58515.69126,117031.38252
0.06,58516.5074038,58516.5074038,58516.5074038,117033.014808
0.08,58516.9280474,58516.9280474,58516.9280474,117033.856095
0.1,58516.8899945,58516.8899945,58516.8899945,117033.779989
0.12,58516.4697504,58516.4697504,58516.4697504,117032.939501
0.14,58515.822846,58515.822846,58515.822846,117031.645692
0.16,58515.1333225,58515.1333225,58515.1333225,117030.266645
0.18,58514.5730403,58514.5730403,58514.5730403,117029.146081
0.2,58514.2713908,58514.2713908,58514.2713908,117028.542782
0.22,58514.2949058,58514.2949058,58514.2949058,117028.589812
0.24,58515.4084092,58515.4084092,58515.4084092,117030.816818
0.26,62419.4779487,62419.4779487,62419.4779487,124838.955897
0.28,78288.2754618,78288.2754618,78288.2754618,156576.550924
0.3,100223.729702,100223.729702,100223.729702,200447.459403
0.32,116890.444535,116890.444535,116890.444535,233780.88907
0.34,120004.213677,120004.213677,120004.213677,240008.427355
0.36,118072.906982,118072.906982,118072.906982,236145.813963
0.38,116046.945652,116046.945652,116046.945652,232093.891303
0.4,113949.451474,113949.451474,113949.451474,227898.902948
0.42,111892.41846,111892.41846,111892.41846,223784.836921
0.44,110004.792114,110004.792114,110004.792114,220009.584228
0.46,108384.522365,108384.522365,108384.522365,216769.04473
0.48,108564.33095,108564.33095,108564.33095,217128.6619
0.5,108387.788539,108387.788539,108387.788539,216775.577078
0.52,108377.045364,108377.045364,108377.045364,216754.090729
0.54,108371.686103,108371.686103,108371.686103,216743.372205
0.56,108368.403554,108368.403554,108368.403554,216736.807108
0.58,108366.738219,108366.738219,108366.738219,216733.476438
0.6,108423.606909,108423.606909,108423.606909,216847.213818
0.62,108446.52861,108446.52861,108446.52861,216893.05722
0.64,108343.92284,108343.92284,108343.92284,216687.84568
0.66,108338.522173,108338.522173,108338.522173,216677.044346
0.68,108333.490926,108333.490926,108333.490926,216666.981852
0.7,108329.351161,108329.351161,108329.351161,216658.702321
0.72,108324.550662,108324.550662,108324.550662,216649.101325
0.74,108306.39809,108306.39809,108306.39809,216612.796179
0.76,110952.331995,110952.331995,110952.331995,221904.663991
0.78,107221.669791,107221.669791,107221.669791,214443.339581
0.8,111393.574369,111393.574369,111393.574369,222787.148737
0.82,112427.281919,112427.281919,112427.281919,224854.563838
0.84,111857.84612,111857.84612,111857.84612,223715.692241
0.86,115749.055258,115749.055258,115749.055258,231498.110515
0.88,115810.709119,115810.709119,115810.709119,231621.418238
0.9,192041.730324,192041.730324,192041.730324,384083.460648
0.92,337753.721083,337753.721083,337753.721083,675507.442165
0.94,337917.443347,337917.443347,337917.443347,675834.886694
0.96,343241.445663,343241.445663,343241.445663,686482.891326
0.98,346389.288093,346389.288093,346389.288093,692778.576185
1.0,346490.209144,346490.209144,346490.209144,692980.418288
1.02,346466.626715,346466.626715,346466.626715,692933.25343
1.04,346444.687063,346444.687063,346444.687063,692889.374127
1.06,346425.215098,346425.215098,346425.215098,692850.430197
1.08,346406.587053,346406.587053,346406.587053,692813.174107
1.1,346394.989656,346394.989656,346394.989656,692789.979312
1.12,346374.65903,346374.65903,346374.65903,692749.31806
1.14,346354.604237,346354.604237,346354.604237,692709.208474
1.16,346324.265965,346324.265965,346324.265965,692648.531931
1.18,346553.395407,346553.395407,346553.395407,693106.790814
1.2,346083.980826,346083.980826,346083.980826,692167.961652
1.22,345841.964061,345841.964061,345841.964061,691683.928123
1.24,345642.031511,345642.031511,345642.031511,691284.063023
1.26,348694.715996,348694.715996,348694.715996,697389.431992
1.28,350625.492611,350625.492611,350625.492611,701250.985221
1.3,354413.32315,354413.32315,354413.32315,708826.6463
1.32,337416.047873,337416.047873,337416.047873,674832.095745
1.34,350035.677527,350035.677527,350035.677527,700071.355054
1.36,353012.208901,353012.208901,353012.208901,706024.417802
1.38,357220.530439,357220.530439,357220.530439,714441.060878
1.4,366599.296044,366599.296044,366599.296044,733198.592089
1.42,382071.685283,382071.685283,382071.685283,764143.370567
1.44,1133866.05049,1133866.05049,1133866.05049,2267732.10097
1.46,1161665.85186,1161665.85186,1161665.85186,2323331.70373
1.48,1160213.95158,1160213.95158,1160213.95158,2320427.90316
1.5,1159550.11887,1159550.11887,1159550.11887,2319100.23774
1.52,1159589.4644,1159589.4644,1159589.4644,2319178.9288
1.54,1159684.14356,1159684.14356,1159684.14356,2319368.28713
1.56,1159790.49283,1159790.49283,1159790.49283,2319580.98566
1.58,1159901.08832,1159901.08832,1159901.08832,2319802.17665
1.6,1160012.74199,1160012.74199,1160012.74199,2320025.48398
1.62,1160115.37157,1160115.37157,1160115.37157,2320230.74314
1.64,1160218.87293,1160218.87293,1160218.87293,2320437.74587
1.66,1160325.07378,1160325.07378,1160325.07378,2320650.14757
1.68,1160387.58242,1160387.58242,1160387.58242,2320775.16485
1.7,1157021.36768,1157021.36768,1157021.36768,2314042.73536
1.72,1152256.32108,1152256.32108,1152256.32108,2304512.64216
1.74,1148659.24036,1148659.24036,1148659.24036,2297318.48071
1.76,1158393.68977,1158393.68977,1158393.68977,2316787.37953
1.78,1160699.4689,1160699.4689,1160699.4689,2321398.9378
1.8,1167804.71852,1167804.71852,1167804.71852,2335609.43705
1.82,1173833.30611,1173833.30611,1173833.30611,2347666.61222
1.84,1168475.1442,1168475.1442,1168475.1442,2336950.28839
1.86,1174919.17986,1174919.17986,1174919.17986,2349838.35972
1.88,1178511.37822,1178511.37822,1178511.37822,2357022.75645
